"일련번호","시장/마트 번호","시장/마트 이름","품목 번호","품목 이름","실판매규격","가격(원)","년도-월","비고","시장유형 구분(시장/마트) 코드","시장유형 구분(시장/마트) 이름","자치구 코드","자치구 이름","점검일자"
"1342760","73","뚝도시장","305","사과(부사, 300g)","1개","1600","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342761","73","뚝도시장","306","배(신고, 600g)","1개","3800","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342762","73","뚝도시장","307","배추(2.5~3kg)","1포기","2500","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342763","73","뚝도시장","282","무(세척무)","1개","1000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342764","73","뚝도시장","309","양파(1.5kg망)","1망","1800","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342765","73","뚝도시장","310","상추(100g)","100g","700","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342766","73","뚝도시장","22","오이","1개","900","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342767","73","뚝도시장","277","호박","1개","1400","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342768","73","뚝도시장","82","쇠고기(육우,불고기)","600g","27000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342769","73","뚝도시장","52","돼지고기(삼겹살)","600g","12000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342770","73","뚝도시장","18","닭고기","1마리","5000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342771","73","뚝도시장","171","달걀(10개)","10개","2000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342772","73","뚝도시장","320","달걀(30개)","30개","6000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342773","73","뚝도시장","259","조기(냉동,국산)","1마리","1200","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342774","73","뚝도시장","152","명태(러시아,냉동)","1마리","2000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342775","73","뚝도시장","256","오징어(냉동,국산)","1마리","5000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342776","73","뚝도시장","266","고등어(생물,국산)","1마리","3000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342777","72","금남시장","28","사과","1개","1800","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342778","72","금남시장","306","배(신고, 600g)","1개","3500","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342779","72","금남시장","307","배추(2.5~3kg)","1포기","2400","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342780","72","금남시장","25","무","1개","1000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342781","72","금남시장","309","양파(1.5kg망)","1망","2000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342782","72","금남시장","23","상추","100g","500","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342783","72","금남시장","311","오이(다다기)","1개","1000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342784","72","금남시장","119","호박(인큐베이터)","1개","1400","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342785","72","금남시장","131","쇠고기(한우1등급)","600g","24000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342786","72","금남시장","202","돼지고기(생삼겹살)","600g","10800","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342787","72","금남시장","18","닭고기","1마리","5000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342788","72","금남시장","171","달걀(10개)","10개","1500","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342789","72","금남시장","320","달걀(30개)","30개","5000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342790","72","금남시장","144","조기(국산,냉동)","1마리","1000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342791","72","금남시장","264","명태(냉동,수입산)","1마리","2500","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342792","72","금남시장","257","오징어(냉동,수입산)","1마리","5000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342793","72","금남시장","266","고등어(생물,국산)","1마리","2500","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342794","74","이마트왕십리점","28","사과","1개","1995","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342795","74","이마트왕십리점","306","배(신고, 600g)","1개","2995","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342796","74","이마트왕십리점","307","배추(2.5~3kg)","1포기","2480","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342797","74","이마트왕십리점","282","무(세척무)","1개","1280","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342798","74","이마트왕십리점","309","양파(1.5kg망)","1망","2900","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342799","74","이마트왕십리점","23","상추","100g","427","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342800","74","이마트왕십리점","311","오이(다다기)","1개","1097","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342801","74","이마트왕십리점","119","호박(인큐베이터)","1개","1690","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342802","74","이마트왕십리점","131","쇠고기(한우1등급)","600g","25500","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342803","74","이마트왕십리점","202","돼지고기(생삼겹살)","600g","10080","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342804","74","이마트왕십리점","18","닭고기","1마리","5000","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342805","74","이마트왕십리점","171","달걀(10개)","10개","2680","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342806","74","이마트왕십리점","320","달걀(30개)","30개","5780","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342807","74","이마트왕십리점","136","조기(국산,생물)","1마리","1980","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342808","74","이마트왕십리점","152","명태(러시아,냉동)","1마리","5980","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342809","74","이마트왕십리점","257","오징어(냉동,수입산)","1마리","2280","2018-12","대만","002","대형마트","200000","성동구","2018-12-27"
"1342810","74","이마트왕십리점","266","고등어(생물,국산)","1마리","2780","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342811","75","이마트성수점","28","사과","1개","1165","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342812","75","이마트성수점","306","배(신고, 600g)","1개","990","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342813","75","이마트성수점","307","배추(2.5~3kg)","1포기","2480","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342814","75","이마트성수점","25","무","1개","1280","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342815","75","이마트성수점","309","양파(1.5kg망)","1망","2900","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342816","75","이마트성수점","23","상추","100g","427","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342817","75","이마트성수점","311","오이(다다기)","1개","1097","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342818","75","이마트성수점","119","호박(인큐베이터)","1개","1190","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342819","75","이마트성수점","131","쇠고기(한우1등급)","600g","37200","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342820","75","이마트성수점","202","돼지고기(생삼겹살)","600g","10080","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342821","75","이마트성수점","18","닭고기","1마리","6180","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342822","75","이마트성수점","171","달걀(10개)","10개","2680","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342823","75","이마트성수점","320","달걀(30개)","30개","5980","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342824","75","이마트성수점","144","조기(국산,냉동)","1개","1980","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342825","75","이마트성수점","264","명태(냉동,수입산)","1개","5980","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342826","75","이마트성수점","257","오징어(냉동,수입산)","1마리","2280","2018-12","대만","002","대형마트","200000","성동구","2018-12-27"
"1342827","75","이마트성수점","266","고등어(생물,국산)","1마리","1995","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1343151","210","상계중앙시장","305","사과(부사, 300g)","1개","2500","2018-12","부사","001","전통시장","350000","노원구","2018-12-27"
"1343152","210","상계중앙시장","306","배(신고, 600g)","1개","3000","2018-12","신고배","001","전통시장","350000","노원구","2018-12-27"
"1343153","210","상계중앙시장","307","배추(2.5~3kg)","1포기","3000","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343154","210","상계중앙시장","308","무(1kg)","1개","2000","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343155","210","상계중앙시장","309","양파(1.5kg망)","1망","2500","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343156","210","상계중앙시장","23","상추","100g","700","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343157","210","상계중앙시장","311","오이(다다기)","1개","800","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343158","210","상계중앙시장","312","애호박","1개","2000","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343159","210","상계중앙시장","58","쇠고기(한우,불고기)","600g","25000","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343160","210","상계중앙시장","99","돼지고기(생삼겹살)","600g","14000","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343161","210","상계중앙시장","283","닭고기(육계)","1마리","6000","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343162","210","상계중앙시장","181","달걀(왕란)","10개","2800","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343163","210","상계중앙시장","134","달걀(왕란)","30개","6000","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343164","210","상계중앙시장","260","조기(냉동,수입산)","1마리(25cm)","6000","2018-12","부세중국산","001","전통시장","350000","노원구","2018-12-27"
"1343165","210","상계중앙시장","152","명태(러시아,냉동)","1마리(35cm)","3000","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343166","210","상계중앙시장","254","오징어(생물,국산)","1마리(25cm)","5000","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343167","210","상계중앙시장","266","고등어(생물,국산)","1마리(30cm)","5000","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343168","96","공릉동도깨비시장","305","사과(부사, 300g)","1개","2500","2018-12","부사","001","전통시장","350000","노원구","2018-12-27"
"1343169","96","공릉동도깨비시장","306","배(신고, 600g)","1개","3000","2018-12","신고배","001","전통시장","350000","노원구","2018-12-27"
"1343170","96","공릉동도깨비시장","307","배추(2.5~3kg)","1포기","3000","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343171","96","공릉동도깨비시장","308","무(1kg)","1개","1500","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343172","96","공릉동도깨비시장","309","양파(1.5kg망)","1망","2000","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343173","96","공릉동도깨비시장","23","상추","100g","700","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343174","96","공릉동도깨비시장","311","오이(다다기)","1개","700","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343175","96","공릉동도깨비시장","312","애호박","1개","2000","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343176","96","공릉동도깨비시장","58","쇠고기(한우,불고기)","600g","24000","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343177","96","공릉동도깨비시장","99","돼지고기(생삼겹살)","600g","13800","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343178","96","공릉동도깨비시장","283","닭고기(육계)","1마리","6000","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343179","96","공릉동도깨비시장","181","달걀(왕란)","10개","2500","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343180","96","공릉동도깨비시장","134","달걀(왕란)","30개","5500","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343181","96","공릉동도깨비시장","260","조기(냉동,수입산)","1마리(20cm)","5000","2018-12","부세중국산","001","전통시장","350000","노원구","2018-12-27"
"1343182","96","공릉동도깨비시장","152","명태(러시아,냉동)","1마리(35cm)","3000","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343183","96","공릉동도깨비시장","254","오징어(생물,국산)","1마리(25cm)","5000","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343184","96","공릉동도깨비시장","266","고등어(생물,국산)","1마리(30cm)","5000","2018-12","","001","전통시장","350000","노원구","2018-12-27"
"1343185","100","홈플러스중계점","305","사과(부사, 300g)","1개","2400","2018-12","부사","002","대형마트","350000","노원구","2018-12-27"
"1343186","100","홈플러스중계점","306","배(신고, 600g)","1개","2200","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343187","100","홈플러스중계점","307","배추(2.5~3kg)","1포기","2590","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343188","100","홈플러스중계점","308","무(1kg)","1개","1390","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343189","100","홈플러스중계점","309","양파(1.5kg망)","1망","2990","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343190","100","홈플러스중계점","23","상추","190g","1590","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343191","100","홈플러스중계점","311","오이(다다기)","1개","1190","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343192","100","홈플러스중계점","312","애호박","1개","1990","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343193","100","홈플러스중계점","58","쇠고기(한우,불고기)","600g","25140","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343194","100","홈플러스중계점","299","삼겹살","600g","16140","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343195","100","홈플러스중계점","138","닭고기(토종닭)","1마리","7990","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343196","100","홈플러스중계점","181","달걀(왕란)","10개","2690","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343197","100","홈플러스중계점","181","달걀(왕란)","30개","5780","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343198","100","홈플러스중계점","260","조기(냉동,수입산)","1마리(20cm)","3990","2018-12","부세중국산","002","대형마트","350000","노원구","2018-12-27"
"1343199","100","홈플러스중계점","264","명태(냉동,수입산)","1마리(30cm)","3690","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343200","100","홈플러스중계점","254","오징어(생물,국산)","1마리(25cm)","6490","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343201","100","홈플러스중계점","266","고등어(생물,국산)","1마리(30cm)","3000","2018-12","부산","002","대형마트","350000","노원구","2018-12-27"
"1343202","98","롯데백화점노원점","305","사과(부사, 300g)","1개","2000","2018-12","부사","002","대형마트","350000","노원구","2018-12-27"
"1343203","98","롯데백화점노원점","306","배(신고, 600g)","1개","4000","2018-12","신고배","002","대형마트","350000","노원구","2018-12-27"
"1343204","98","롯데백화점노원점","125","배추(국산)","1포기","2980","2018-12","솎은배추","002","대형마트","350000","노원구","2018-12-27"
"1343205","98","롯데백화점노원점","25","무","1개","2980","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343206","98","롯데백화점노원점","309","양파(1.5kg망)","1망","4500","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343207","98","롯데백화점노원점","23","상추","150g","2980","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343208","98","롯데백화점노원점","311","오이(다다기)","1개","1290","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343209","98","롯데백화점노원점","119","호박(인큐베이터)","1개","1980","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343210","98","롯데백화점노원점","58","쇠고기(한우,불고기)","600g","51000","2018-12","1++대관령한우","002","대형마트","350000","노원구","2018-12-27"
"1343211","98","롯데백화점노원점","99","돼지고기(생삼겹살)","600g","24420","2018-12","선진포크","002","대형마트","350000","노원구","2018-12-27"
"1343212","98","롯데백화점노원점","138","닭고기(토종닭)","1마리","12900","2018-12","하림,","002","대형마트","350000","노원구","2018-12-27"
"1343213","98","롯데백화점노원점","171","달걀(10개)","10개","6500","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343214","98","롯데백화점노원점","320","달걀(30개)","30개","8900","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343215","98","롯데백화점노원점","258","조기(생물,국산)","1마리(20cm)","10000","2018-12","백조기","002","대형마트","350000","노원구","2018-12-27"
"1343216","98","롯데백화점노원점","152","명태(러시아,냉동)","1마리(35cm)","0","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343217","98","롯데백화점노원점","256","오징어(냉동,국산)","1마리(25cm)","5950","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343218","98","롯데백화점노원점","266","고등어(생물,국산)","1마리(30cm)","6500","2018-12","","002","대형마트","350000","노원구","2018-12-27"
"1343744","140","하나로클럽양재점","237","사과(부사),중급(대)","1개","1400","2018-12","","002","대형마트","650000","서초구","2018-12-27"
"1343745","140","하나로클럽양재점","170","배(신고),중급(대)","1개","2500","2018-12","","002","대형마트","650000","서초구","2018-12-27"
"1343746","140","하나로클럽양재점","307","배추(2.5~3kg)","1포기","2180","2018-12","","002","대형마트","650000","서초구","2018-12-27"
"1343747","140","하나로클럽양재점","25","무","1개","1480","2018-12","","002","대형마트","650000","서초구","2018-12-27"
"1343748","140","하나로클럽양재점","309","양파(1.5kg망)","1망","2780","2018-12","","002","대형마트","650000","서초구","2018-12-27"
"1343749","140","하나로클럽양재점","23","상추","1봉 150g","980","2018-12","","002","대형마트","650000","서초구","2018-12-27"
"1343750","140","하나로클럽양재점","311","오이(다다기)","1개","1090","2018-12","","002","대형마트","650000","서초구","2018-12-27"
"1343751","140","하나로클럽양재점","119","호박(인큐베이터)","1개","1580","2018-12","","002","대형마트","650000","서초구","2018-12-27"
"1343752","140","하나로클럽양재점","58","쇠고기(한우,불고기)","600g","28680","2018-12","1등급","002","대형마트","650000","서초구","2018-12-27"
"1343753","140","하나로클럽양재점","202","돼지고기(생삼겹살)","600g","11340","2018-12","","002","대형마트","650000","서초구","2018-12-27"
"1343754","140","하나로클럽양재점","283","닭고기(육계)","1051g","7500","2018-12","자연품은통닭","002","대형마트","650000","서초구","2018-12-27"
"1343755","140","하나로클럽양재점","181","달걀(왕란)","10개","3090","2018-12","","002","대형마트","650000","서초구","2018-12-27"
"1343756","140","하나로클럽양재점","181","달걀(왕란)","30개","4640","2018-12","","002","대형마트","650000","서초구","2018-12-27"
"1343757","140","하나로클럽양재점","136","조기(국산,생물)","1마리","3380","2018-12","","002","대형마트","650000","서초구","2018-12-27"
"1343758","140","하나로클럽양재점","152","명태(러시아,냉동)","1kg","5900","2018-12","절단통태","002","대형마트","650000","서초구","2018-12-27"
"1343759","140","하나로클럽양재점","254","오징어(생물,국산)","1마리","7450","2018-12","30cm","002","대형마트","650000","서초구","2018-12-27"
"1343760","140","하나로클럽양재점","266","고등어(생물,국산)","1마리","6900","2018-12","25cm 손질고등어","002","대형마트","650000","서초구","2018-12-27"
"1344169","2","신세계백화점","305","사과(부사, 300g)","1 개","2700","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344170","2","신세계백화점","306","배(신고, 600g)","1 개","7900","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344171","2","신세계백화점","175","배추(중간)","1포기","5500","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344172","2","신세계백화점","133","무(세척무)","1 개","3500","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344173","2","신세계백화점","309","양파(1.5kg망)","1망","5970","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344174","2","신세계백화점","23","상추","100g","2580","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344175","2","신세계백화점","22","오이","1 개","1830","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344176","2","신세계백화점","312","애호박","1 개","2980","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344177","2","신세계백화점","58","쇠고기(한우,불고기)","600g","33600","2018-12","부위혼합100g5600","002","대형마트","140000","중구","2018-12-31"
"1344178","2","신세계백화점","202","돼지고기(생삼겹살)","600g","21000","2018-12","신진포크 삼겹살100g3500","002","대형마트","140000","중구","2018-12-31"
"1344179","2","신세계백화점","138","닭고기(토종닭)","1마리(1kg)","12000","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344180","2","신세계백화점","171","달걀(10개)","10개","5800","2018-12","동물복지둥지란","002","대형마트","140000","중구","2018-12-31"
"1344181","2","신세계백화점","320","달걀(30개)","30개","15000","2018-12","동물복지인증받은 유정란15구7500","002","대형마트","140000","중구","2018-12-31"
"1344182","2","신세계백화점","258","조기(생물,국산)","1마리","9600","2018-12","대서양마른조기","002","대형마트","140000","중구","2018-12-31"
"1344183","2","신세계백화점","265","명태(생물,수입산)","1마리","6000","2018-12","러시아산행사2마리12000","002","대형마트","140000","중구","2018-12-31"
"1344184","2","신세계백화점","254","오징어(생물,국산)","1마리","9250","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344185","2","신세계백화점","266","고등어(생물,국산)","1마리","6500","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344186","56","롯데백화점","305","사과(부사, 300g)","1 개","3500","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344187","56","롯데백화점","306","배(신고, 600g)","1 개","6000","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344188","56","롯데백화점","307","배추(2.5~3kg)","1포기 ","4500","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344189","56","롯데백화점","282","무(세척무)","1 개","3980","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344190","56","롯데백화점","309","양파(1.5kg망)","1망","4980","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344191","56","롯데백화점","23","상추","100g","1720","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344192","56","롯데백화점","311","오이(다다기)","1 개","1250","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344193","56","롯데백화점","312","애호박","1 개","2980","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344194","56","롯데백화점","278","쇠고기","600g","46800","2018-12","설도1+","002","대형마트","140000","중구","2018-12-31"
"1344195","56","롯데백화점","99","돼지고기(생삼겹살)","600g","21540","2018-12","박달재삼겹살","002","대형마트","140000","중구","2018-12-31"
"1344196","56","롯데백화점","138","닭고기(토종닭)","1마리","10000","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344197","56","롯데백화점","171","달걀(10개)","10개","4950","2018-12","동물복지 목초란","002","대형마트","140000","중구","2018-12-31"
"1344198","56","롯데백화점","320","달걀(30개)","30개","12980","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344199","56","롯데백화점","136","조기(국산,생물)","1마리","10000","2018-12","백조기","002","대형마트","140000","중구","2018-12-31"
"1344200","56","롯데백화점","265","명태(생물,수입산)","1마리","0","2018-12","입고안됨","002","대형마트","140000","중구","2018-12-31"
"1344201","56","롯데백화점","254","오징어(생물,국산)","1마리","8750","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344202","56","롯데백화점","266","고등어(생물,국산)","1마리","10000","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344203","55","광장시장","305","사과(부사, 300g)","1 개","3000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344204","55","광장시장","306","배(신고, 600g)","1 개","4000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344205","55","광장시장","307","배추(2.5~3kg)","1포기","4000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344206","55","광장시장","274","무(세척무, 중)","1 개","2000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344207","55","광장시장","309","양파(1.5kg망)","1망","4000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344208","55","광장시장","310","상추(100g)","100g","500","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344209","55","광장시장","311","오이(다다기)","1 개","500","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344210","55","광장시장","119","호박(인큐베이터)","1 개","2000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344211","55","광장시장","58","쇠고기(한우,불고기)","600g(1등급)","30000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344212","55","광장시장","99","돼지고기(생삼겹살)","600g","14000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344213","55","광장시장","283","닭고기(육계)","1마리(1kg)","6000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344214","55","광장시장","171","달걀(10개)","10개","2000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344215","55","광장시장","320","달걀(30개)","30개","5000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344216","55","광장시장","260","조기(냉동,수입산)","1마리","2000","2018-12","부서","001","전통시장","110000","종로구","2018-12-31"
"1344217","55","광장시장","265","명태(생물,수입산)","1마리","7000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344218","55","광장시장","254","오징어(생물,국산)","1마리","6000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344219","55","광장시장","266","고등어(생물,국산)","1마리","5000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344220","1","통인시장","305","사과(부사, 300g)","1 개","2500","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344221","1","통인시장","306","배(신고, 600g)","1 개","4000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344222","1","통인시장","175","배추(중간)","1포기 ","4000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344223","1","통인시장","274","무(세척무, 중)","1 개","1500","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344224","1","통인시장","309","양파(1.5kg망)","1망","4000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344225","1","통인시장","310","상추(100g)","100g","500","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344226","1","통인시장","311","오이(다다기)","1 개","600","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344227","1","통인시장","119","호박(인큐베이터)","1 개","2000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344228","1","통인시장","58","쇠고기(한우,불고기)","600g(2등급)","22000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344229","1","통인시장","99","돼지고기(생삼겹살)","600g","13000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344230","1","통인시장","283","닭고기(육계)","1마리(1kg)","6000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344231","1","통인시장","171","달걀(10개)","10개","2000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344232","1","통인시장","320","달걀(30개)","30개","5500","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344233","1","통인시장","260","조기(냉동,수입산)","1마리","3500","2018-12","부서조기","001","전통시장","110000","종로구","2018-12-31"
"1344234","1","통인시장","152","명태(러시아,냉동)","1마리","7000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344235","1","통인시장","254","오징어(생물,국산)","1마리","6000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344236","1","통인시장","266","고등어(생물,국산)","1마리","5000","2018-12","","001","전통시장","110000","종로구","2018-12-31"
"1344237","8","롯데마트서울역점","305","사과(부사, 300g)","1개","1500","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344238","8","롯데마트서울역점","284","배(중품)","1개","2000","2018-12","","002","대형마트","140000","중구","2018-12-31"
"1344239","8","롯데마트서울역점","271","배추(중간)","1포기(중간)","2480","2018-12","","002","대형마트","140000","중구","2018-12-31"
